DIVISION,ST,AGEP,CIT,MAR,SCHL,WAGP,NATIVITY
8,35,18,1,1,20.0,1,1
1,9,14,1,5,21.0,4,1
8,32,24,1,3,16.0,0,1
8,4,27,1,1,21.0,9,1
7,48,19,4,1,22.0,3,2
5,13,33,1,1,16.0,0,1
9,53,21,1,1,23.0,9,1
9,6,20,1,5,15.0,0,1
9,6,8,1,5,19.0,1,1
8,8,23,4,3,22.0,4,2
8,8,40,1,1,21.0,0,1
5,37,7,1,5,12.0,0,1
1,25,39,1,1,21.0,0,1
5,37,32,1,3,17.0,1,1
9,6,8,1,5,13.0,0,1
8,49,23,1,1,20.0,4,1
2,42,15,1,5,16.0,0,1
3,39,31,1,3,14.0,0,1
9,6,3,1,5,5.0,0,1
9,6,32,1,1,21.0,7,1
3,17,27,1,5,17.0,0,1
8,49,37,1,2,19.0,0,1
7,48,9,1,5,18.0,0,1
1,9,31,1,1,22.0,8,1
5,24,18,1,1,22.0,9,1
9,6,0,1,5,0.0,0,1
4,29,19,1,5,21.0,7,1
3,17,6,1,5,9.0,0,1
9,6,35,1,1,23.0,0,1
5,24,48,1,2,16.0,0,1
5,45,36,1,2,18.0,0,1
5,51,40,1,1,21.0,0,1
3,55,6,1,5,9.0,0,1
2,34,29,1,1,21.0,6,1
6,28,10,1,5,16.0,0,1
8,4,5,1,5,8.0,0,1
9,6,30,1,3,16.0,0,1
2,36,48,1,2,16.0,0,1
8,8,37,1,1,19.0,0,1
5,12,23,4,3,22.0,6,2
3,39,4,1,5,5.0,0,1
5,45,21,1,4,20.0,0,1
4,29,13,1,5,18.0,2,1
7,48,21,1,5,21.0,2,1
9,6,21,1,1,21.0,7,1
1,33,9,1,5,16.0,0,1
9,6,42,1,2,16.0,0,1
8,16,9,1,3,18.0,0,1
9,6,23,1,1,19.0,0,1
5,13,26,1,1,16.0,2,1
5,13,9,1,1,17.0,1,1
3,26,45,1,2,16.0,0,1
5,45,34,1,1,16.0,4,1
7,22,26,1,3,21.0,4,1
2,42,17,1,5,17.0,0,1
2,36,8,1,5,12.0,0,1
9,6,1,1,5,0.0,0,1
8,8,40,1,1,22.0,0,1
6,47,27,1,1,16.0,6,1
5,37,13,1,5,16.0,1,1
6,1,26,1,3,16.0,0,1
2,36,12,2,5,15.0,0,1
8,4,9,1,5,19.0,0,1
9,6,24,1,5,17.0,0,1
9,53,37,1,3,21.0,0,1
3,17,42,1,2,19.0,0,1
4,20,33,1,3,16.0,0,1
4,20,14,5,5,21.0,1,2
1,25,35,1,1,20.0,0,1
5,12,24,1,1,20.0,4,1
3,26,15,1,1,21.0,4,1
9,6,9,1,5,18.0,0,1
7,22,27,1,5,16.0,1,1
9,6,13,1,5,21.0,3,1
8,49,4,1,5,5.0,0,1
1,50,26,1,1,22.0,4,1
4,27,29,1,1,20.0,1,1
3,26,21,1,5,18.0,0,1
5,37,31,1,1,19.0,0,1
7,48,24,1,1,16.0,2,1
